

=======CONSUMO DE MAT.PRIMA=======
PERIODO	LOCAL	PRODUTO	QUANTIDADE
[1]	[F1]	[X1]:	86.95
[1]	[F1]	[X2]:	80.85
[1]	[F1]	[X3]:	15.85
[1]	[F1]	[X4]:	11.30
[1]	[F1]	[X5]:	5.30
[1]	[F1]	[X6]:	4.73
[1]	[F1]	[X7]:	7.02
[2]	[F1]	[X1]:	86.95
[2]	[F1]	[X2]:	80.85
[2]	[F1]	[X3]:	15.85
[2]	[F1]	[X4]:	11.30
[2]	[F1]	[X5]:	5.30
[2]	[F1]	[X6]:	4.73
[2]	[F1]	[X7]:	7.02
[3]	[F1]	[X1]:	86.95
[3]	[F1]	[X2]:	80.85
[3]	[F1]	[X3]:	15.85
[3]	[F1]	[X4]:	11.30
[3]	[F1]	[X5]:	5.30
[3]	[F1]	[X6]:	4.73
[3]	[F1]	[X7]:	7.02
[4]	[F1]	[X1]:	86.95
[4]	[F1]	[X2]:	80.85
[4]	[F1]	[X3]:	15.85
[4]	[F1]	[X4]:	11.30
[4]	[F1]	[X5]:	5.30
[4]	[F1]	[X6]:	4.73
[4]	[F1]	[X7]:	7.02
[5]	[F1]	[X1]:	86.95
[5]	[F1]	[X2]:	80.85
[5]	[F1]	[X3]:	15.85
[5]	[F1]	[X4]:	11.30
[5]	[F1]	[X5]:	5.30
[5]	[F1]	[X6]:	4.73
[5]	[F1]	[X7]:	7.02
[6]	[F1]	[X1]:	86.95
[6]	[F1]	[X2]:	80.85
[6]	[F1]	[X3]:	15.85
[6]	[F1]	[X4]:	11.30
[6]	[F1]	[X5]:	5.30
[6]	[F1]	[X6]:	4.73
[6]	[F1]	[X7]:	7.02
[7]	[F1]	[X1]:	86.95
[7]	[F1]	[X2]:	80.85
[7]	[F1]	[X3]:	15.85
[7]	[F1]	[X4]:	11.30
[7]	[F1]	[X5]:	5.30
[7]	[F1]	[X6]:	4.73
[7]	[F1]	[X7]:	7.02
[8]	[F1]	[X1]:	86.95
[8]	[F1]	[X2]:	80.85
[8]	[F1]	[X3]:	15.85
[8]	[F1]	[X4]:	11.30
[8]	[F1]	[X5]:	5.30
[8]	[F1]	[X6]:	4.73
[8]	[F1]	[X7]:	7.02
[9]	[F1]	[X1]:	86.95
[9]	[F1]	[X2]:	80.85
[9]	[F1]	[X3]:	15.85
[9]	[F1]	[X4]:	11.30
[9]	[F1]	[X5]:	5.30
[9]	[F1]	[X6]:	4.73
[9]	[F1]	[X7]:	7.02
[10]	[F1]	[X1]:	86.95
[10]	[F1]	[X2]:	80.85
[10]	[F1]	[X3]:	15.85
[10]	[F1]	[X4]:	11.30
[10]	[F1]	[X5]:	5.30
[10]	[F1]	[X6]:	4.73
[10]	[F1]	[X7]:	7.02
[11]	[F1]	[X1]:	86.95
[11]	[F1]	[X2]:	80.85
[11]	[F1]	[X3]:	15.85
[11]	[F1]	[X4]:	11.30
[11]	[F1]	[X5]:	5.30
[11]	[F1]	[X6]:	4.73
[11]	[F1]	[X7]:	7.02
[12]	[F1]	[X1]:	86.95
[12]	[F1]	[X2]:	80.85
[12]	[F1]	[X3]:	15.85
[12]	[F1]	[X4]:	11.30
[12]	[F1]	[X5]:	5.30
[12]	[F1]	[X6]:	4.73
[12]	[F1]	[X7]:	7.02
