

===============PROD.MAQUINAS===============
PERIODO	LOCAL	MAQUINA	PRODUTO	QUANTIDADE
[1]	[F1]	[R1A]	[Y3]:	57.00
[1]	[F1]	[R1A]	[Y4]:	27.00
[1]	[F1]	[R1A]	[Y6]:	17.00
[1]	[F1]	[R1A]	[Y7]:	36.00
[1]	[F1]	[R1A]	[Y8]:	26.00
[1]	[F1]	[R1A]	[Y10]:	49.00
[1]	[F1]	[R1B]	[Y3]:	57.00
[1]	[F1]	[R1B]	[Y4]:	27.00
[1]	[F1]	[R1B]	[Y6]:	17.00
[1]	[F1]	[R1B]	[Y7]:	36.00
[1]	[F1]	[R1B]	[Y8]:	26.00
[1]	[F1]	[R1B]	[Y10]:	49.00
[1]	[F1]	[R1C]	[Y3]:	57.00
[1]	[F1]	[R1C]	[Y4]:	27.00
[1]	[F1]	[R1C]	[Y6]:	17.00
[1]	[F1]	[R1C]	[Y7]:	36.00
[1]	[F1]	[R1C]	[Y8]:	26.00
[1]	[F1]	[R1C]	[Y10]:	49.00
[1]	[F1]	[R1D]	[Y3]:	57.00
[1]	[F1]	[R1D]	[Y4]:	27.00
[1]	[F1]	[R1D]	[Y6]:	17.00
[1]	[F1]	[R1D]	[Y7]:	36.00
[1]	[F1]	[R1D]	[Y8]:	26.00
[1]	[F1]	[R1D]	[Y10]:	49.00
[1]	[F1]	[R1E]	[Y3]:	57.00
[1]	[F1]	[R1E]	[Y4]:	27.00
[1]	[F1]	[R1E]	[Y6]:	17.00
[1]	[F1]	[R1E]	[Y7]:	36.00
[1]	[F1]	[R1E]	[Y8]:	26.00
[1]	[F1]	[R1E]	[Y10]:	49.00
[2]	[F1]	[R1A]	[Y3]:	57.00
[2]	[F1]	[R1A]	[Y4]:	27.00
[2]	[F1]	[R1A]	[Y6]:	17.00
[2]	[F1]	[R1A]	[Y7]:	36.00
[2]	[F1]	[R1A]	[Y8]:	26.00
[2]	[F1]	[R1A]	[Y10]:	49.00
[2]	[F1]	[R1B]	[Y3]:	57.00
[2]	[F1]	[R1B]	[Y4]:	27.00
[2]	[F1]	[R1B]	[Y6]:	17.00
[2]	[F1]	[R1B]	[Y7]:	36.00
[2]	[F1]	[R1B]	[Y8]:	26.00
[2]	[F1]	[R1B]	[Y10]:	49.00
[2]	[F1]	[R1C]	[Y3]:	57.00
[2]	[F1]	[R1C]	[Y4]:	27.00
[2]	[F1]	[R1C]	[Y6]:	17.00
[2]	[F1]	[R1C]	[Y7]:	36.00
[2]	[F1]	[R1C]	[Y8]:	26.00
[2]	[F1]	[R1C]	[Y10]:	49.00
[2]	[F1]	[R1D]	[Y3]:	57.00
[2]	[F1]	[R1D]	[Y4]:	27.00
[2]	[F1]	[R1D]	[Y6]:	17.00
[2]	[F1]	[R1D]	[Y7]:	36.00
[2]	[F1]	[R1D]	[Y8]:	26.00
[2]	[F1]	[R1D]	[Y10]:	49.00
[2]	[F1]	[R1E]	[Y3]:	57.00
[2]	[F1]	[R1E]	[Y4]:	27.00
[2]	[F1]	[R1E]	[Y6]:	17.00
[2]	[F1]	[R1E]	[Y7]:	36.00
[2]	[F1]	[R1E]	[Y8]:	26.00
[2]	[F1]	[R1E]	[Y10]:	49.00
[3]	[F1]	[R1A]	[Y3]:	57.00
[3]	[F1]	[R1A]	[Y4]:	27.00
[3]	[F1]	[R1A]	[Y6]:	17.00
[3]	[F1]	[R1A]	[Y7]:	36.00
[3]	[F1]	[R1A]	[Y8]:	26.00
[3]	[F1]	[R1A]	[Y10]:	49.00
[3]	[F1]	[R1B]	[Y3]:	57.00
[3]	[F1]	[R1B]	[Y4]:	27.00
[3]	[F1]	[R1B]	[Y6]:	17.00
[3]	[F1]	[R1B]	[Y7]:	36.00
[3]	[F1]	[R1B]	[Y8]:	26.00
[3]	[F1]	[R1B]	[Y10]:	49.00
[3]	[F1]	[R1C]	[Y3]:	57.00
[3]	[F1]	[R1C]	[Y4]:	27.00
[3]	[F1]	[R1C]	[Y6]:	17.00
[3]	[F1]	[R1C]	[Y7]:	36.00
[3]	[F1]	[R1C]	[Y8]:	26.00
[3]	[F1]	[R1C]	[Y10]:	49.00
[3]	[F1]	[R1D]	[Y3]:	57.00
[3]	[F1]	[R1D]	[Y4]:	27.00
[3]	[F1]	[R1D]	[Y6]:	17.00
[3]	[F1]	[R1D]	[Y7]:	36.00
[3]	[F1]	[R1D]	[Y8]:	26.00
[3]	[F1]	[R1D]	[Y10]:	49.00
[3]	[F1]	[R1E]	[Y3]:	57.00
[3]	[F1]	[R1E]	[Y4]:	27.00
[3]	[F1]	[R1E]	[Y6]:	17.00
