

==================CAP.MAQUINAS=================
PERIODO	LOCAL	MAQUINA	ATIVA?	QUANT	(%)OCUP
[1]	[F1]	[R1A]	[1.00]	70.67	12.62%
[1]	[F1]	[R1B]	[1.00]	70.67	25.24%
[1]	[F1]	[R1C]	[1.00]	70.67	25.24%
[1]	[F1]	[R1D]	[1.00]	70.67	12.62%
[1]	[F1]	[R1E]	[1.00]	70.67	12.62%
[2]	[F1]	[R1A]	[1.00]	70.67	12.62%
[2]	[F1]	[R1B]	[1.00]	70.67	25.24%
[2]	[F1]	[R1C]	[1.00]	70.67	25.24%
[2]	[F1]	[R1D]	[1.00]	70.67	12.62%
[2]	[F1]	[R1E]	[1.00]	70.67	12.62%
[3]	[F1]	[R1A]	[1.00]	70.67	12.62%
[3]	[F1]	[R1B]	[1.00]	70.67	25.24%
[3]	[F1]	[R1C]	[1.00]	70.67	25.24%
[3]	[F1]	[R1D]	[1.00]	70.67	12.62%
[3]	[F1]	[R1E]	[1.00]	70.67	12.62%
[4]	[F1]	[R1A]	[1.00]	70.67	12.62%
[4]	[F1]	[R1B]	[1.00]	70.67	25.24%
[4]	[F1]	[R1C]	[1.00]	70.67	25.24%
[4]	[F1]	[R1D]	[1.00]	70.67	12.62%
[4]	[F1]	[R1E]	[1.00]	70.67	12.62%
[5]	[F1]	[R1A]	[1.00]	70.67	12.62%
[5]	[F1]	[R1B]	[1.00]	70.67	25.24%
[5]	[F1]	[R1C]	[1.00]	70.67	25.24%
[5]	[F1]	[R1D]	[1.00]	70.67	12.62%
[5]	[F1]	[R1E]	[1.00]	70.67	12.62%
[6]	[F1]	[R1A]	[1.00]	70.67	12.62%
[6]	[F1]	[R1B]	[1.00]	70.67	25.24%
[6]	[F1]	[R1C]	[1.00]	70.67	25.24%
[6]	[F1]	[R1D]	[1.00]	70.67	12.62%
[6]	[F1]	[R1E]	[1.00]	70.67	12.62%
[7]	[F1]	[R1A]	[1.00]	70.67	12.62%
[7]	[F1]	[R1B]	[1.00]	70.67	25.24%
[7]	[F1]	[R1C]	[1.00]	70.67	25.24%
[7]	[F1]	[R1D]	[1.00]	70.67	12.62%
[7]	[F1]	[R1E]	[1.00]	70.67	12.62%
[8]	[F1]	[R1A]	[1.00]	70.67	14.72%
[8]	[F1]	[R1B]	[1.00]	70.67	29.44%
[8]	[F1]	[R1C]	[1.00]	70.67	29.44%
[8]	[F1]	[R1D]	[1.00]	70.67	14.72%
[8]	[F1]	[R1E]	[1.00]	70.67	14.72%
[9]	[F1]	[R1A]	[1.00]	70.67	12.62%
[9]	[F1]	[R1B]	[1.00]	70.67	25.24%
[9]	[F1]	[R1C]	[1.00]	70.67	25.24%
[9]	[F1]	[R1D]	[1.00]	70.67	12.62%
[9]	[F1]	[R1E]	[1.00]	70.67	12.62%
[10]	[F1]	[R1A]	[1.00]	70.67	12.62%
[10]	[F1]	[R1B]	[1.00]	70.67	25.24%
[10]	[F1]	[R1C]	[1.00]	70.67	25.24%
[10]	[F1]	[R1D]	[1.00]	70.67	12.62%
[10]	[F1]	[R1E]	[1.00]	70.67	12.62%
[11]	[F1]	[R1A]	[1.00]	70.67	12.62%
[11]	[F1]	[R1B]	[1.00]	70.67	25.24%
[11]	[F1]	[R1C]	[1.00]	70.67	25.24%
[11]	[F1]	[R1D]	[1.00]	70.67	12.62%
[11]	[F1]	[R1E]	[1.00]	70.67	12.62%
[12]	[F1]	[R1A]	[1.00]	70.67	12.62%
[12]	[F1]	[R1B]	[1.00]	70.67	25.24%
[12]	[F1]	[R1C]	[1.00]	70.67	25.24%
[12]	[F1]	[R1D]	[1.00]	70.67	12.62%
[12]	[F1]	[R1E]	[1.00]	70.67	12.62%
